"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.s4","CONS.ASOC.parents.solves_Mill_2","CONS.ASOC.scrounges_Mill_2","CONS.SOCIAL.parents.solves_Mill_2","CONS.SOCIAL.scrounges_Mill_2","OFFs1","OFFs2","OFFs3","OFFs4","OFFASOC.parents.solves_Mill_2","OFFASOC.scrounges_Mill_2","OFFSOCIAL.parents.solves_Mill_2","OFFSOCIAL.scrounges_Mill_2","convergence","loglik","Baseline.parameter1","Baseline.parameter2","s1","s2","s3","s4","ASOCIALparents.solves_Mill_2","ASOCIALscrounges_Mill_2","SOCIALparents.solves_Mill_2","SOCIALscrounges_Mill_2","SE.Baseline.parameter1","SE.Baseline.parameter2","SEs1","SEs2","SEs3","SEs4","SEasocialparents.solves_Mill_2","SEasocialscrounges_Mill_2","SEsocialparents.solves_Mill_2","SEsocialscrounges_Mill_2","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"26",26,"unconstrained","1:2:0:3","weibull",1,2,0,3,4,5,0,6,0,0,0,0,0,0,0,0,FALSE,239.738130207453,50.7721250758232,0.000291227476552476,190.894504144546,16.5882627793204,0,172.771487572856,0.137653267012998,-8.06428965152066,0,-2.67700118874268,NA,NA,NA,NA,0,NA,NA,NA,0,NA,495.476260414907,498.904831843478,67.7892111068527,1.90440731890152e-15,4.09947137663718e-16
"27",27,"unconstrained","1:2:0:3","weibull",1,2,0,3,4,5,6,0,0,0,0,0,0,0,0,0,FALSE,240.018814887535,35.5761253532816,0.00270497975742099,258.019291482982,3.29101856374909,0,6.26936724478031,0.112419468894342,-7.10656458935649,-0.139332871096676,0,NA,0.00131199449109723,210.997410130303,2.08125434398067,0,21.828453492739,0.015918086441351,1.49210652618633,0.0554121646656998,0,496.037629775071,499.466201203642,68.3505804670167,1.43833495222883e-15,3.09619318732717e-16
"74",74,"unconstrained","1:2:0:0","weibull",1,2,0,0,0,3,4,5,0,0,0,0,0,0,0,0,FALSE,241.740483947232,140.157845322788,0.000123609186386529,501.795900347151,58.9929699818782,0,0,0,-0.542669960072767,0.000268602901238171,-2.78247512202077,NA,NA,NA,NA,0,0,0,NA,NA,NA,497.480967894464,500.085619057254,68.969998320629,1.05524950288841e-15,2.27155456155088e-16
"75",75,"unconstrained","1:2:0:0","weibull",1,2,0,0,3,0,4,5,0,0,0,0,0,0,0,0,FALSE,241.756097270393,33.2860441374506,0.00093843663885111,70.8425116479778,7.54974977062242,0,0,0.0881658061832482,0,-0.00217240183239677,-2.79995726806966,NA,0.00189646063816281,143.399229988499,15.459751934989,0,0,0.152055147871509,0,0.0176671401706458,0.94439048908154,497.512194540785,500.116845703576,69.0012249669506,1.03890150676037e-15,2.23636348581457e-16
"24",24,"unconstrained","1:2:0:3","weibull",1,2,0,3,0,4,5,6,0,0,0,0,0,0,0,0,FALSE,240.654520596378,81.3815300624405,0.000146579947577649,416.378510557878,34.2914949692081,0,359.158027620662,0,-0.4674679663692,8.73746237987824e-05,-2.83783532416869,NA,NA,NA,NA,0,NA,0,NA,NA,NA,497.309041192757,500.737612621328,69.6219918847028,7.61687016296386e-16,1.63962514230637e-16
"25",25,"unconstrained","1:2:0:3","weibull",1,2,0,3,4,0,5,6,0,0,0,0,0,0,0,0,FALSE,240.677943525232,34.5842755432041,0.000892153200603331,69.260052635109,5.32488375861092,0,60.6928455152834,0.0969320911351652,0,-0.00164002784391521,-2.86690800236446,NA,0.000868643558561473,72.6235402696512,5.40189655969445,0,76.4862770996328,0.151545168973757,0,0.0195056819747869,0.91930493168901,497.355887050464,500.784458479036,69.6688377424103,7.44053397199869e-16,1.60166660474184e-16
"153",153,"additive","1:2:0:0","weibull",1,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,FALSE,245.091726476678,46.0847001983647,0.000641656265373987,126.568111215775,23.3884026369841,0,0,0.120188574720396,-8.92001760300111,0,0,NA,0.000780728394180394,149.570017827045,30.5878482968057,0,0,0.0300126089027814,2.78526594563445,0,0,502.183452953357,504.092543862448,72.9769231258225,1.42318871068728e-16,3.06358903639424e-17
"236",236,"noILVs","1:2:0:0","weibull",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,248.231143188431,169.451082727585,9.00872077554593e-05,1376.38838405183,185.168961579754,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,504.462286376861,505.331851594253,74.2162308576274,7.65861495466131e-17,1.64861122301447e-17
"83",83,"additive","1:2:0:3","weibull",1,2,0,3,4,5,0,0,0,0,0,0,0,0,0,0,FALSE,245.016390357603,36.4321614391523,0.000856857520774683,117.576277176343,14.5388121799043,0,37.1926029988845,0.116904887796925,-8.13341071364652,0,0,1890.37539079995,NA,NA,NA,0,72.5853915437951,0.0176060550122402,NA,0,0,504.032780715207,506.637431877998,75.5218111413723,3.98700774201764e-17,8.58252536346051e-18
"213",213,"noILVs","1:2:0:3","weibull",1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,247.692740087508,274.785684404212,7.70210677493911e-05,1450.04795977317,176.33163371234,0,1231.78513766458,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,505.385480175016,506.718813508349,75.603192771724,3.82802955780973e-17,8.24030523586406e-18
